first_name,email,date,code_time,soft_index,tech_index
Lura,ltankin0@washingtonpost.com,2018-12-02,3785,0.522,0.787
Kerwin,kserver1@wordpress.com,2018-05-26,6195,0.956,0.111
Othella,onoraway2@bigcartel.com,2018-05-26,749,0.357,0.056
Marsiella,mknaggs3@canalblog.com,2018-10-17,3642,0.584,0.907
Trey,teveriss4@usgs.gov,2018-04-19,1563,0.419,0.369
Loni,lchatburn5@ameblo.jp,2018-07-17,2087,0.467,0.923
Tabitha,tdogg6@ucoz.com,2018-03-21,4064,0.324,0.541
Panchito,pwalls7@si.edu,2018-02-28,3023,0.68,0.673
Danny,dashfull8@fc2.com,2018-09-27,6199,0.221,0.511
Lemar,lduro9@dell.com,2019-01-22,1880,0.672,0.049
Federico,flocarnoa@dailymail.co.uk,2018-03-27,6039,0.556,0.828
Pooh,pjosiahb@uol.com.br,2018-12-29,626,0.044,0.902
Mason,mglasgowc@abc.net.au,2018-09-23,2173,0.059,0.317
Anallese,abaksterd@craigslist.org,2018-11-12,3,0.075,0.396
Linn,livanchenkove@storify.com,2018-09-24,3403,0.151,0.292
Karilynn,klavinf@mapy.cz,2018-10-11,6422,0.94,0.093
Andie,adunfordg@nih.gov,2018-09-07,4513,0.469,0.639
Keelia,krudolphh@reuters.com,2018-09-13,2185,0.958,0.503
Emanuel,epolglazei@elegantthemes.com,2018-06-15,1873,0.525,0.409
Boigie,bthomasonj@qq.com,2018-02-26,842,0.933,0.888
Harriette,hbirkink@jimdo.com,2018-09-18,843,0.043,0.177
Fritz,fbreukelmanl@moonfruit.com,2018-11-14,3752,0.678,0.173
Sofie,sboadbym@webs.com,2018-04-17,4367,0.311,0.017
Tabor,tandersn@hao123.com,2018-11-25,6166,0.438,0.038
Bernardo,bpalombio@purevolume.com,2018-03-31,5221,0.148,0.18
Jason,jsawlep@domainmarket.com,2018-03-30,6583,0.929,0.535
Clemens,ckembleyq@timesonline.co.uk,2018-08-14,2808,0,0.51
Gradeigh,gclemenzar@tiny.cc,2018-11-21,6383,0.128,0.188
Barbey,bocurrans@twitpic.com,2019-01-03,3924,0.308,0.558
Lowe,lrussant@mysql.com,2018-07-11,2322,0.5,0.087
Hilly,heltu@ebay.co.uk,2018-08-17,2513,0.14,0.67
Goldie,gmatzkev@columbia.edu,2018-05-21,2051,0.871,0.435
Waite,wchesnutw@omniture.com,2018-04-25,2736,0.257,0.332
Monica,mparringtonx@telegraph.co.uk,2018-03-19,4566,0.794,0.782
Britni,bstanfordy@360.cn,2018-11-17,4085,0.685,0.506
Killie,kmackeggz@blogtalkradio.com,2018-11-17,6485,0.301,0.204
Hilliary,hcruz10@theatlantic.com,2018-05-26,5395,0.555,0.05
Margarette,mtremblot11@virginia.edu,2018-10-16,5950,0.827,0.278
Rafaello,reagling12@networkadvertising.org,2018-06-25,400,0.448,0.058
Jenda,jthewless13@dmoz.org,2019-02-01,4176,0.574,0.436
Fabe,fkenner14@xing.com,2018-05-25,2134,0.277,0.023
Ashlen,aoliva15@auda.org.au,2018-10-19,4892,0.172,0.671
Shari,sommundsen16@squarespace.com,2018-11-26,4861,0.281,0.695
Blane,btomaini17@posterous.com,2018-03-29,5056,0.878,0.329
Demetre,dminchi18@rakuten.co.jp,2018-05-06,4655,0.49,0.106
Cori,cbubbins19@seattletimes.com,2018-11-26,4802,0.769,0.497
Rolf,rpaullin1a@slideshare.net,2018-05-28,6521,0.686,0.868
